DATE,ACCOUNT_HASH,CAMPAIGN_HASH,SPEND,REACH,IMPRESSIONS,CLICKS
2018-05-12,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1756.83,291072,330898,841
2018-05-13,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,2500,666953,697323,586
2018-05-13,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1722.06,306419,360524,613
2018-05-14,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,408.92,107264,114579,253
2018-05-15,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1366.88,274373,321924,873
2018-05-16,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1327.28,244378,276811,776
2018-05-17,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,310.51,118650,120156,84
2018-05-17,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1427.22,234204,267262,772
2018-05-18,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,829.04,280311,290013,212
2018-05-18,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1472.7,253942,288824,774
2018-05-19,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,891.27,336655,346583,248
2018-05-19,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1542.37,299891,338893,904
2018-05-20,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,469.18,180918,183845,130
2018-05-20,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1385.03,263971,300909,892
2018-05-21,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1492.77,276472,311463,816
2018-05-22,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,235.37,68799,69412,0
2018-05-22,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1355.99,231610,262157,787
2018-05-23,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,602.76,137195,138995,0
2018-05-23,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1503.99,241817,274065,723
2018-05-24,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,670.52,147444,147794,0
2018-05-24,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1391.15,232148,257543,592
2018-05-25,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,585.71,112935,113877,0
2018-05-25,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1402.66,223740,257773,469
2018-05-26,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,574.13,114404,115376,0
2018-05-26,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1430.9,210889,243183,454
2018-05-27,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,655.15,113781,115205,0
2018-05-27,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1551.14,227204,263035,479
2018-05-28,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,426.36,66824,67177,0
2018-05-28,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1848.04,344428,355022,311
2018-05-29,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,138.18,42353,42545,60
2018-05-30,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,892.44,224595,235993,336
2018-05-31,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,891.85,207718,215243,278
2018-05-31,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,554.46,101326,114685,195
2018-06-01,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,573.51,145669,148576,174
2018-06-01,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1377.1,218049,257329,398
2018-06-02,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1534.68,255490,300625,483
2018-06-03,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,1358.58,217208,251924,413
2018-06-04,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,398.3,138680,140942,158
2018-06-04,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,265.21,57304,60658,60
2018-06-04,16ea25f8c0c144495e236fe6444a9409,e4f12e96a39f511f0d27751c84ce15d9,729.18,114782,125291,208
2018-06-05,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,813.42,241818,248393,276
2018-06-05,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,665.33,108588,120455,158
2018-06-06,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,775.34,211922,215194,219
2018-06-06,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,654.7,113001,121006,119
2018-06-07,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,886.9,220473,224447,245
2018-06-07,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,687.16,100248,109232,131
2018-06-08,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,559.04,141018,143233,146
2018-06-08,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,694.65,99480,108263,117
2018-06-09,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,744.41,106976,119525,149
2018-06-10,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,774.31,134472,147461,148
2018-06-11,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,659.61,99676,108083,111
2018-06-12,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,601.29,193388,194344,0
2018-06-12,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,307.72,46523,48570,77
2018-06-13,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,1606.13,393669,396739,0
2018-06-13,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,87.09,18027,18148,21
2018-06-14,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,4058.56,805986,838962,498
2018-06-14,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,397.75,77531,79351,77
2018-06-15,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,408.65,80656,82152,80
2018-06-16,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,410.46,92679,94105,93
2018-06-17,16ea25f8c0c144495e236fe6444a9409,4d3f3752a17c108879c0ceb55ac97d3f,1496.05,291627,297942,254
2018-06-20,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,255.25,74232,74738,92
2018-06-21,7c7f7d568e4e262b1e09ee1431032e0b,35e19821aa320b28bf9054dae1420d22,1106.7,242923,251139,293
