day,conversion_type,channel,segment,tactic,lookup_type,spend,impressions,clicks
6/1/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,704.07,5734,163
6/2/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,993.28,8592,224
6/3/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,882.59,8120,214
6/4/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,522.62,5505,120
6/5/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,568.52,4851,129
6/6/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,545.31,4788,124
6/7/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,502.49,5874,135
6/8/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,692.5,6657,187
6/9/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,863.26,7562,238
6/10/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,783.39,7165,195
6/11/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,585.98,4906,148
6/12/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,502.34,5264,123
6/13/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,630.44,5390,140
6/14/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,593.99,6550,167
6/15/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,802.17,8570,210
6/16/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,1043.48,9806,261
6/17/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,876.72,9225,219
6/18/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,736.45,5990,181
6/19/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,505.82,6679,133
6/20/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,726.87,8997,185
6/21/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,1209.47,15950,295
6/22/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,1876.12318,39775,492
6/23/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,5038.94538,204128,1817
6/24/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,2880.42286,91607,1008
6/25/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,756.124668,11112,200
6/26/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,739.76,7225,173
6/27/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,596.92,6654,151
6/28/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,773.56,6562,172
6/29/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,1089.7,7634,240
6/30/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,1166.53,9720,301
7/1/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,968.21,11701,260
7/2/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,869.04,8922,200
7/3/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,1200.02444,12111,269
7/4/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,1258.55999,15053,312
7/5/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,860.86746,12309,212
7/6/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,914.9,16611,264
7/7/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,1261.51,19226,331
7/8/18,New Buyers,Search,Prospects,Google - Search - UAC,AdWords Campaign Performance,920.83,41170,297
